"code";"nom";"popto";"menag";"tailm";"densi";"mobil";"acmig";"ordin";"porta"
"AN";"Ariana";576088;151397;3.80514805445286;1387.64223568972;20.4362875116302;7.01785143936343;50.5525208557633;98.8731612911749
"BA";"Ben Arous";631842;163811;3.85714024088736;961.896628105062;18.8517065975355;4.27306193637017;51.0521271465286;98.894457637155
"BJ";"Beja";303032;76827;3.94434248376222;81.0245989304813;8.79181076585971;-2.56210565220835;19.1430096190141;94.0450622827912
"BZ";"Bizerte";568219;142532;3.9866065164314;162.982520551403;8.28219401322377;-1.05610688836523;28.4497516347206;96.7642353997699
"GB";"Gabes";374300;84783;4.41480013681988;52.2308707749928;12.3246059310713;-0.508415709324072;33.9289716098746;98.2661618484838
"GF";"Gafsa";337331;77964;4.3267533733518;43.2043597428213;9.49749652418544;-1.83202848241045;28.8761479657278;97.5103894104972
"JE";"Jendouba";401477;103042;3.89624619087362;129.425209542231;8.21616182247053;-3.09058800379598;17.1891073542827;93.5734943032938
"KB";"Kebili";156961;34285;4.57812454426134;6.99018014206507;2.32987812259096;0.372704047502246;32.0490010208546;97.9203733411113
"KF";"Le Kef";243156;63708;3.81672631380674;47.8559338712852;12.1239039957887;-3.08608465347349;21.8387015759402;95.6018082501413
"KR";"Kairouan";570436;129902;4.39127957999107;86.5030935339076;8.75979075654412;-3.41195155985948;14.3023202106203;94.7368015888901
"KS";"Kasserine";439243;95292;4.60944255551358;53.2248018806194;7.56574379102228;-2.76247999398966;14.22679763254;95.1076690593124
"ME";"Medenine";358126;113277;3.16150674894286;39.0668702956256;14.9455778133953;0.309946778508123;33.3121463315589;98.1390750108142
"MH";"Mahdia";410812;95466;4.30322837449982;143.818069155286;6.21184386045198;-0.603925883372443;22.0748748245449;96.6773510988205
"MN";"Manubah";379518;95405;3.97796761176039;341.201114807156;12.9398342107621;2.25997185904226;34.3420156176301;97.8219170902993
"MS";"Monastir";548828;133595;4.10814776002096;551.96870191389;9.04035508392429;1.59758612898759;39.4498297091957;97.8255174220592
"NB";"Nabeul";787918;202554;3.88991577554627;278.504824855961;10.0992742899642;1.71363009856356;31.941111999763;96.6942148760331
"SF";"Sfax";955421;242740;3.9359850045316;137.298579765503;12.7338628730162;0.519352201804231;34.2518744335503;97.3251215292082
"SL";"Siliana";223087;55028;4.05406338591263;48.058380008617;10.7653068085545;-4.04954121037981;15.0577887620848;95.3678127498728
"SS";"Sousse";674818;171114;3.94367497691597;297.26748514363;14.326529523516;1.99994665228254;41.4735205769253;97.5419895508258
"SZ";"Sidi Bou Zid";429912;93552;4.59543355566957;58.3390327308256;7.50804815869294;-1.82176817581272;13.9751154438173;95.9316743629212
"TA";"Tataouine";149453;30887;4.83870236669149;3.84306616266811;11.9114370404074;-1.31680193773293;28.6884449768511;98.5560268073947
"TO";"Tozeur";107912;25566;4.22091840725964;19.2944626222532;8.92671806657276;-0.138075468900586;29.9460220605492;97.6492216224673
"TU";"Tunis";1056247;287412;3.67502748667418;4363.28673639683;23.9829320225288;-2.09543790420233;51.1279974392162;98.4896246503278
"ZA";"Zaghouan";176945;42835;4.13085093965215;61.7199762810004;9.29723925513578;-0.252620870892085;18.6576397805533;95.9168903933699
