i;j;distrout
Ksour Essef;Regueb;157
Kerkenah;Regueb;160
Kebili;Regueb;236
Kelibia;Regueb;293
Mahdia;Regueb;164
Mahres;Regueb;107
Makthar;Regueb;155
Le Kef;Regueb;205
Bizerte;Regueb;343
Bouficha;Regueb;199
Bou Arada;Regueb;230
Bou Argoub;Regueb;228
Bou Salem;Regueb;272
Benane Bodher;Regueb;161
Ben Guerdane;Regueb;277
Beja;Regueb;305
Chebba;Regueb;157
Dahmani;Regueb;176
Enfidha;Regueb;174
El Jem;Regueb;126
El Fahs;Regueb;204
Douz;Regueb;265
Ghar El Melh;Regueb;326
Ghardimaou;Regueb;271
Guettar;Regueb;131
Gromballia;Regueb;237
Feriana;Regueb;157
Gafsa;Regueb;120
Gabes;Regueb;137
Gaafour;Regueb;222
Sidi Thabet;Regueb;297
Siliana;Regueb;186
Sidi Bou Ali;Regueb;182
Sidi Bouzid;Regueb;40
Tabarka;Regueb;317
Sousse;Regueb;167
Souk El Ahad;Regueb;252
Skhira;Regueb;72
Sers;Regueb;190
Sbeitla;Regueb;84
Sfax;Regueb;112
Tozeur;Regueb;212
Tunis;Regueb;271
Tajerouine;Regueb;187
Takelsa;Regueb;265
Agareb;Regueb;76
Testour;Regueb;269
Tela;Regueb;148
Tebourba;Regueb;266
Teboursouk;Regueb;237
Tataouine;Regueb;256
Zarzis;Regueb;270
Zaghouan;Regueb;217
Zeramdine;Regueb;145
Zriba;Regueb;209
Alia;Regueb;326
Metlaoui;Regueb;158
Metouia;Regueb;120
Moknine;Regueb;162
Mateur;Regueb;300
Mareth;Regueb;172
Menzel Temime;Regueb;279
Menzel Bourguiba;Regueb;342
Menzel Hayet;Regueb;136
Medenine;Regueb;207
Mediaz El Bab;Regueb;250
Meknassy;Regueb;37
M'Dhilla;Regueb;133
Nabeul;Regueb;224
Nefta;Regueb;235
Monastir;Regueb;166
Mornaguia;Regueb;257
Om Laraies;Regueb;190
Ouedhref;Regueb;116
Hajeb Elayoun;Hamma;266
Kalaat El Andalous;Hamma;464
Kasserine;Hamma;285
Jerba Ajim;Hamma;128
Jerba Houmet Souk;Hamma;146
Jedeida;Hamma;450
Jemmal;Hamma;271
Jendouba;Hamma;399
Kairouan;Hamma;236
Ksar;Hamma;129
Korba;Hamma;407
Ksour Essef;Hamma;257
Kerkenah;Hamma;219
Kebili;Hamma;85
Kelibia;Hamma;446
Mahdia;Hamma;265
Mahres;Hamma;146
Makthar;Hamma;302
Le Kef;Hamma;370
Bizerte;Hamma;496
Bouficha;Hamma;351
Bou Arada;Hamma;353
Bou Argoub;Hamma;380
Bou Salem;Hamma;555
Benane Bodher;Hamma;281
Ben Guerdane;Hamma;174
Beja;Hamma;537
Chebba;Hamma;244
Dahmani;Hamma;346
Enfidha;Hamma;330
El Jem;Hamma;227
